City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,73.29,overcast clouds,-23.1203,-134.9692,People ThankYou
2,Sioux Lookout,CA,68.38,clear sky,50.1001,-91.917,Knobby's Fly-In Camps
6,Bonthe,SL,75.87,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
9,Kamaishi,JP,77.95,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
13,Carutapera,BR,76.53,light rain,-1.195,-46.02,Lidera
16,Butaritari,KI,82.71,light rain,3.0707,172.7902,Isles Sunset Lodge
18,Carnarvon,AU,78.87,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
20,Komsomolskiy,UZ,66.92,clear sky,40.4272,71.7189,Ikathouse
23,Atuona,PF,77.9,light rain,-9.8,-139.0333,Villa Enata
27,Araguacu,BR,81.99,scattered clouds,-12.9306,-49.8264,Hotel Tocantins
35,Hami,CN,75.2,clear sky,42.8,93.45,Laoyutang Resort
38,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
40,Pangai,TO,78.91,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
41,Tlacojalpan,MX,76.95,clear sky,18.2333,-95.95,Hotel posada santa Mercedes
42,Savalou,BJ,72.72,overcast clouds,7.9281,1.9756,Hotel F&F
44,Fernandez,AR,66.22,overcast clouds,-27.9204,-63.8935,Cordoba Hunting
46,Flinders,AU,76.21,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
49,San Patricio,US,80.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
53,Aguimes,ES,70.43,broken clouds,27.9054,-15.4461,Hotel Villa de Aguimes
54,Padang,ID,78.85,light rain,-0.9492,100.3543,Mercure Padang
55,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
56,Chulumani,BO,65.26,light rain,-16.4096,-67.5263,Hotel Cabanas Paradise
60,Faanui,PF,79.21,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
62,Hilo,US,82.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
64,Koumac,NC,75.79,broken clouds,-20.5667,164.2833,Le Monitel
65,Chisec,GT,71.64,light rain,15.8167,-90.2833,Hotel Estancia De La Virgen
66,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
68,Saint-Pierre,RE,71.29,clear sky,-21.3393,55.4781,Lindsey Hôtel
69,Half Moon Bay,US,68.0,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
70,Busselton,AU,68.04,clear sky,-33.65,115.3333,Observatory Guest House
72,Russell,US,72.63,fog,32.3502,-85.1999,Macs
73,Bafq,IR,83.21,clear sky,31.6128,55.4107,Alamdar Hotel
74,Port-Gentil,GA,77.5,light rain,-0.7193,8.7815,Fengshui Residence
75,Sao Filipe,CV,79.43,overcast clouds,14.8961,-24.4956,Hotel Xaguate
76,Bodden Town,KY,82.92,few clouds,19.2833,-81.25,Will T Place
78,Kieta,PG,84.42,light rain,-6.2167,155.6333,Uruna Bay Retreat
79,Arraial Do Cabo,BR,70.12,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
80,Tautira,PF,80.62,few clouds,-17.7333,-149.15,Pension Oaoa
81,Muroto,JP,82.44,overcast clouds,33.2833,134.15,Oota Ryokan
82,Labrea,BR,74.14,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
84,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
85,Road Town,VG,81.19,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
92,Tomatlan,MX,74.97,broken clouds,19.9333,-105.25,El Salvial
98,Nouakchott,MR,80.53,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
101,Maningrida,AU,88.2,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
106,Bundaberg,AU,79.09,light rain,-24.85,152.35,Takalvan Motel
108,Alugan,PH,84.9,light rain,12.2188,125.4808,JM Lodge
109,Ponta Do Sol,PT,72.23,few clouds,32.6667,-17.1,Hotel do Campo
112,Chingola,ZM,65.86,few clouds,-12.529,27.8838,Protea Hotel by Marriott Chingola
118,Saint George,US,69.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
121,Airai,TL,82.11,clear sky,-8.9266,125.4092,Juvinal Martin
125,Grand Gaube,MU,73.8,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
128,Alvaraes,BR,72.59,broken clouds,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
129,Takoradi,GH,74.79,scattered clouds,4.8845,-1.7554,Raybow International Hotel
130,Lompoc,US,66.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
132,Cabo San Lucas,MX,82.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
134,Funtua,NG,68.85,broken clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
135,Meadow Lake,US,67.48,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
138,Banda Aceh,ID,83.7,light rain,5.5577,95.3222,Sulthan Hotel International
139,Masallatah,LY,71.78,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
142,Lake City,US,73.0,clear sky,30.1897,-82.6393,Ramada Limited Lake City
143,Bandarbeyla,SO,81.32,overcast clouds,9.4942,50.8122,JABIR HOTEL
145,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
146,Mayumba,GA,74.89,overcast clouds,-3.432,10.6554,LIKWALE LODGE
148,Puerto Ayora,EC,69.44,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
149,Lorengau,PG,84.54,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
150,Hurricane,US,66.67,clear sky,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
153,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
154,Jining,CN,79.97,broken clouds,35.405,116.5814,Yunhe Star Hotel
156,Joao Pinheiro,BR,75.18,few clouds,-17.7425,-46.1725,Hotel Santos
159,Fukue,JP,80.96,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
165,Chikhli,IN,77.92,overcast clouds,20.35,76.25,श्रीअम्बें स्वीट माट
167,Cap Malheureux,MU,73.89,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
169,Lazaro Cardenas,MX,78.19,overcast clouds,17.9583,-102.2,quinta antigua
176,Nampula,MZ,69.75,few clouds,-15.1165,39.2666,BUTIK Hotel
177,Camacha,PT,68.76,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
179,Kiama,AU,75.38,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
180,Panaba,MX,75.52,broken clouds,21.2833,-88.2667,Posada rosario
181,Vilhena,BR,74.12,scattered clouds,-12.7406,-60.1458,Hotel Mirage
183,Hithadhoo,MV,82.35,overcast clouds,-0.6,73.0833,Scoop Guest House
184,Mantua,IT,66.7,few clouds,45.1667,10.7833,Hotel la Favorita
189,Biltine,TD,81.16,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
190,Porto Nacional,BR,82.4,scattered clouds,-10.7081,-48.4172,Vila Real Hotel
193,Saint-Philippe,RE,71.22,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
194,Bathsheba,BB,79.41,thunderstorm,13.2167,-59.5167,Atlantis Hotel
200,Carupano,VE,77.5,broken clouds,10.6678,-63.2585,Hotel La dorada
201,Mahon,ES,70.36,clear sky,39.8885,4.2658,ARTIEM Capri
203,Caravelas,BR,73.0,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
204,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
207,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
208,Vao,NC,70.09,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
211,Eyl,SO,81.01,few clouds,7.9803,49.8164,Amiin Hotel
213,Atar,MR,87.55,clear sky,20.5169,-13.0499,Oumou Elghoura
218,Machilipatnam,IN,86.2,moderate rain,16.1667,81.1333,R&B Bungalow
221,Misterbianco,IT,70.61,scattered clouds,37.5341,14.9538,Motta Residence Hotel
