City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lindon,US,40.3433,-111.7208,53.51,51,75,1.01,broken clouds
1,Rikitea,PF,-23.1203,-134.9692,73.29,73,99,17.25,overcast clouds
2,Sioux Lookout,CA,50.1001,-91.917,68.38,77,1,6.91,clear sky
3,Barcelos,PT,41.5388,-8.6151,58.84,70,66,3.71,broken clouds
4,Ushuaia,AR,-54.8,-68.3,38.86,87,75,12.66,light rain
5,Yellowknife,CA,62.456,-114.3525,48.42,100,90,3.44,light rain
6,Bonthe,SL,7.5264,-12.505,75.87,88,87,5.48,overcast clouds
7,Ponoka,CA,52.6768,-113.5815,47.88,41,93,8.46,overcast clouds
8,Sayyan,YE,15.1718,44.3244,64.53,35,89,3.06,overcast clouds
9,Kamaishi,JP,39.2667,141.8833,77.95,77,32,15.55,scattered clouds
10,Emba,KZ,48.8264,58.1442,40.06,73,51,9.15,broken clouds
11,Castro,BR,-24.7911,-50.0119,60.37,94,75,9.78,broken clouds
12,Ucluelet,CA,48.9329,-125.5528,55.09,93,100,5.99,light rain
13,Carutapera,BR,-1.195,-46.02,76.53,88,36,5.12,light rain
14,Kodiak,US,57.79,-152.4072,47.71,49,1,6.91,clear sky
15,Ayan,RU,56.45,138.1667,51.75,77,59,3.02,broken clouds
16,Butaritari,KI,3.0707,172.7902,82.71,74,62,15.5,light rain
17,Bethel,US,41.3712,-73.414,58.05,84,90,0.0,overcast clouds
18,Carnarvon,AU,-24.8667,113.6333,78.87,57,40,11.5,scattered clouds
19,Barrow,US,71.2906,-156.7887,30.22,74,90,13.8,light snow
20,Komsomolskiy,UZ,40.4272,71.7189,66.92,37,0,4.61,clear sky
21,Bluff,NZ,-46.6,168.3333,51.8,79,99,25.81,light rain
22,Hualmay,PE,-11.0964,-77.6139,62.74,86,55,6.58,broken clouds
23,Atuona,PF,-9.8,-139.0333,77.9,76,17,19.57,light rain
24,Fortuna,US,40.5982,-124.1573,57.65,70,1,0.0,clear sky
25,Chokurdakh,RU,70.6333,147.9167,22.96,89,100,6.4,overcast clouds
26,Punta Arenas,CL,-53.15,-70.9167,39.31,81,20,12.66,few clouds
27,Araguacu,BR,-12.9306,-49.8264,81.99,51,44,3.83,scattered clouds
28,Zhigansk,RU,66.7697,123.3711,36.12,62,98,7.74,overcast clouds
29,Clyde River,CA,70.4692,-68.5914,29.07,88,53,9.62,broken clouds
