City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,48.31,34,0,16.11,CL,2021-09-29 14:46:35
1,Yellowknife,62.456,-114.3525,46.42,100,75,4.61,CA,2021-09-29 14:46:54
2,Brzeziny,51.8002,19.7514,59.18,72,100,13.96,PL,2021-09-29 14:46:54
3,Kihei,20.785,-156.4656,76.84,85,75,5.75,US,2021-09-29 14:46:54
4,Tiksi,71.6872,128.8694,31.3,87,100,5.46,RU,2021-09-29 14:46:54
5,Arraial Do Cabo,-22.9661,-42.0278,84.16,58,20,3.44,BR,2021-09-29 14:46:55
6,Vaini,-21.2,-175.2,73.56,94,75,8.05,TO,2021-09-29 14:46:55
7,Mangrol,21.1167,70.1167,79.38,92,100,24.25,IN,2021-09-29 14:46:55
8,Kaitangata,-46.2817,169.8464,41.94,77,69,12.21,NZ,2021-09-29 14:46:56
9,Moerai,-22.4333,-151.3333,74.52,81,0,6.06,PF,2021-09-29 14:46:56
10,Provideniya,64.3833,-173.3,30.11,76,100,7.67,RU,2021-09-29 14:46:56
11,Chumikan,54.7183,135.315,44.83,74,100,13.06,RU,2021-09-29 14:46:56
12,Bluff,-46.6,168.3333,39.79,68,100,22.62,NZ,2021-09-29 14:46:57
13,Hermanus,-34.4187,19.2345,64.9,72,100,23.02,ZA,2021-09-29 14:46:57
14,Santa Maria,-29.6842,-53.8069,69.1,78,75,13.8,BR,2021-09-29 14:44:57
15,Georgetown,5.4112,100.3354,80.53,89,40,1.01,MY,2021-09-29 14:45:24
16,Tessalit,20.1986,1.0114,101.17,10,28,13.8,ML,2021-09-29 14:46:57
17,Nimes,43.8333,4.35,78.4,41,0,11.5,FR,2021-09-29 14:46:58
18,Ribeira Grande,38.5167,-28.7,75.6,88,75,4.61,PT,2021-09-29 14:46:58
19,Atuona,-9.8,-139.0333,77.34,76,74,20.71,PF,2021-09-29 14:46:58
20,Albany,42.6001,-73.9662,59.81,63,18,9.24,US,2021-09-29 14:45:06
21,Pisco,-13.7,-76.2167,64.45,82,90,2.3,PE,2021-09-29 14:46:59
22,Mar Del Plata,-38.0023,-57.5575,60.82,29,40,18.99,AR,2021-09-29 14:45:15
23,Barrow,71.2906,-156.7887,28.42,74,90,11.5,US,2021-09-29 14:46:59
24,Luangwa,-15.6167,30.4167,98.83,16,28,9.69,ZM,2021-09-29 14:46:59
25,Rikitea,-23.1203,-134.9692,72.23,73,77,17.47,PF,2021-09-29 14:47:00
26,Salalah,17.0151,54.0924,84.29,84,75,10.36,OM,2021-09-29 14:45:06
27,Nanortalik,60.1432,-45.2371,38.17,61,13,4.09,GL,2021-09-29 14:47:00
28,Ushuaia,-54.8,-68.3,47.86,49,90,20.71,AR,2021-09-29 14:47:00
29,Namibe,-15.1961,12.1522,74.03,68,20,17.27,AO,2021-09-29 14:47:01
30,Kadugannawa,7.2547,80.5242,70.05,90,69,2.98,LK,2021-09-29 14:47:01
31,Honningsvag,70.9821,25.9704,48.11,78,29,6.91,NO,2021-09-29 14:47:01
32,Saint George,37.1041,-113.5841,61.39,47,75,5.99,US,2021-09-29 14:43:07
